Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
 Enjoying a beautiful day at the park!              ,positive,2023-01-15 12:30:00, User123      ,twitter, #Nature #Park                            ,15.0,30.0,USA,2023,1,15,12
 Traffic was terrible this morning.                 ,negative,2023-01-15 08:45:00, CommuterX    ,twitter, #Traffic #Morning                        ,5.0,10.0,Canada,2023,1,15,8
 Just finished an amazing workout! 💪               ,positive,2023-01-15 15:45:00, FitnessFan   ,instagram, #Fitness #Workout                        ,20.0,40.0,USA,2023,1,15,15
 Excited about the upcoming weekend getaway!        ,positive,2023-01-15 18:20:00, AdventureX   ,facebook, #Travel #Adventure                       ,8.0,15.0,UK,2023,1,15,18
 Trying out a new recipe for dinner tonight.        ,neutral,2023-01-15 19:55:00, ChefCook     ,instagram, #Cooking #Food                           ,12.0,25.0,Australia,2023,1,15,19
 Feeling grateful for the little things in life.    ,positive,2023-01-16 09:10:00, GratitudeNow ,twitter, #Gratitude #PositiveVibes              ,25.0,50.0,India,2023,1,16,9
 Rainy days call for cozy blankets and hot cocoa.   ,positive,2023-01-16 14:45:00, RainyDays    ,facebook, #RainyDays #Cozy                         ,10.0,20.0,Canada,2023,1,16,14
 The new movie release is a must-watch!             ,positive,2023-01-16 19:30:00, MovieBuff    ,instagram, #MovieNight #MustWatch                  ,15.0,30.0,USA,2023,1,16,19
 Political discussions heating up on the timeline.  ,negative,2023-01-17 08:00:00, DebateTalk   ,twitter, #Politics #Debate                       ,30.0,60.0,USA,2023,1,17,8
 Missing summer vibes and beach days.               ,neutral,2023-01-17 12:20:00, BeachLover   ,facebook, #Summer #BeachDays                      ,18.0,35.0,Australia,2023,1,17,12
 Just published a new blog post. Check it out!      ,positive,2023-01-17 15:15:00, BloggerX     ,instagram, #Blogging #NewPost                      ,22.0,45.0,USA,2023,1,17,15
 Feeling a bit under the weather today.             ,negative,2023-01-18 10:30:00, WellnessCheck,twitter, #SickDay #Health                        ,7.0,15.0,Canada,2023,1,18,10
